time,reference,state
2.65,1104,2253.617
2.66,1104,2253.499
2.67,1104,2253.444
2.68,1104,2253.449
2.69,1104,2253.514
2.7,1104,2253.646
2.71,1104,2253.86
2.72,1104,2254.174
2.73,1104,2254.603
2.74,1104,2255.149
2.75,1104,2255.801
2.76,1104,2256.526
2.77,1104,2257.276
2.78,1104,2257.986
2.79,1104,2258.593
2.8,1104,2259.038
2.81,1104,2259.279
2.82,1104,2259.299
2.83,1104,2259.108
2.84,1104,2258.739
2.85,1104,2258.25
2.86,1104,2257.708
2.87,1104,2257.186
2.88,1104,2256.75
2.89,1104,2256.453
2.9,1104,2256.323
2.91,1104,2256.365
2.92,1104,2256.563
2.93,1104,2256.877
2.94,1104,2257.257
2.95,1104,2257.646
2.96,1104,2257.997
2.97,1104,2258.268
2.98,1104,2258.438
2.99,1104,2258.503
3,1104,2258.475
3.01,1104,2258.379
3.02,1104,2258.252
3.03,1104,2258.131
3.04,1104,2258.052
3.05,1104,2258.043
3.06,1104,2258.124
3.07,1104,2258.3
3.08,1104,2258.564
3.09,1104,2258.897
3.1,1104,2259.271
3.11,1104,2259.646
3.12,1104,2259.984
3.13,1104,2260.243
3.14,1104,2260.391
3.15,1104,2260.402
3.16,1104,2260.265
3.17,1104,2259.982
3.18,1104,2259.57
3.19,1104,2259.054
3.2,1104,2258.475
3.21,1104,2257.873
3.22,1104,2257.295
3.23,1104,2256.781
3.24,1104,2256.368
3.25,1104,2256.08
3.26,1104,2255.929
3.27,1104,2255.915
3.28,1104,2256.022
3.29,1104,2256.225
3.3,1104,2256.486
3.31,1104,2256.765
3.32,1104,2257.021
3.33,1104,2257.218
3.34,1104,2257.333
3.35,1104,2257.355
3.36,1104,2257.289
3.37,1104,2257.153
3.38,1104,2256.974
3.39,1104,2256.783
3.4,1104,2256.609
3.41,1104,2256.473
3.42,1104,2256.382
3.43,1104,2256.329
3.44,1104,2256.296
3.45,1104,2256.255
3.46,1104,2256.177
3.47,1104,2256.039
3.48,1104,2255.828
3.49,1104,2255.554
3.5,1104,2255.244
3.51,1104,2254.944
3.52,1104,2254.714
3.53,1104,2254.616
3.54,1104,2254.701
3.55,1104,2255.002
3.56,1104,2255.522
3.57,1104,2256.231
3.58,1104,2257.066
3.59,1104,2257.939
3.6,1104,2258.751
3.61,1104,2259.404
3.62,1104,2259.816
3.63,1104,2259.937
3.64,1104,2259.752
3.65,1104,2259.292
3.66,1104,2258.624
3.67,1104,2257.846
3.68,1104,2257.069
3.69,1104,2256.401
3.7,1104,2255.929
3.71,1104,2255.705
3.72,1104,2255.733
3.73,1104,2255.975
3.74,1104,2256.348
3.75,1104,2256.747
3.76,1104,2257.056
3.77,1104,2257.172
3.78,1104,2257.021
3.79,1104,2256.573
3.8,1104,2255.849
3.81,1104,2254.919
3.82,1104,2253.892
3.83,1104,2252.901
3.84,1104,2252.079
3.85,1104,2251.54
3.86,1104,2251.36
3.87,1104,2251.565
3.88,1104,2252.126
3.89,1104,2252.964
