time,reference,state
0,1328,5.190648e-05
0.01,1328,0.0009648246
0.02,1328,0.008870922
0.03,1328,0.0540196
0.04,1328,0.2461532
0.05,1328,0.8990102
0.06,1328,2.751927
0.07,1328,7.287084
0.08,1328,17.09026
0.09,1328,36.15006
0.1,1328,69.9605
0.11,1328,125.3028
0.12,1328,209.6382
0.13,1328,330.1315
0.14,1328,492.4229
0.15,1328,699.3463
0.16,1328,949.8349
0.17,1328,1238.248
0.18,1328,1554.293
0.19,1328,1883.628
0.2,1328,2209.101
0.21,1328,2512.49
0.22,1328,2776.497
0.23,1328,2986.728
0.24,1328,3133.365
0.25,1328,3212.29
0.26,1328,3225.52
0.27,1328,3180.881
0.28,1328,3090.993
0.29,1328,2971.705
0.3,1328,2840.21
0.31,1328,2713.089
0.32,1328,2604.537
0.33,1328,2524.986
0.34,1328,2480.278
0.35,1328,2471.441
0.36,1328,2495.069
0.37,1328,2544.198
0.38,1328,2609.535
0.39,1328,2680.857
0.4,1328,2748.383
0.41,1328,2803.953
0.42,1328,2841.879
0.43,1328,2859.398
0.44,1328,2856.696
0.45,1328,2836.557
0.46,1328,2803.712
0.47,1328,2764.009
0.48,1328,2723.521
0.49,1328,2687.728
0.5,1328,2660.865
0.51,1328,2645.501
0.52,1328,2642.384
0.53,1328,2650.551
0.54,1328,2667.641
0.55,1328,2690.371
0.56,1328,2715.072
0.57,1328,2738.222
0.58,1328,2756.9
0.59,1328,2769.103
0.6,1328,2773.913
0.61,1328,2771.499
0.62,1328,2762.968
0.63,1328,2750.115
0.64,1328,2735.108
0.65,1328,2720.157
0.66,1328,2707.216
0.67,1328,2697.754
0.68,1328,2692.615
0.69,1328,2691.975
0.7,1328,2695.398
0.71,1328,2701.962
0.72,1328,2710.438
0.73,1328,2719.489
0.74,1328,2727.857
0.75,1328,2734.531
0.76,1328,2738.846
0.77,1328,2740.54
0.78,1328,2739.741
0.79,1328,2736.903
0.8,1328,2732.708
0.81,1328,2727.942
0.82,1328,2723.376
0.83,1328,2719.661
0.84,1328,2717.245
0.85,1328,2716.342
0.86,1328,2716.921
0.87,1328,2718.744
0.88,1328,2721.419
0.89,1328,2724.474
0.9,1328,2727.426
0.91,1328,2729.859
0.92,1328,2731.464
0.93,1328,2732.083
0.94,1328,2731.711
0.95,1328,2730.486
0.96,1328,2728.657
0.97,1328,2726.542
0.98,1328,2724.479
0.99,1328,2722.77
1,1328,2721.648
1.01,1328,2721.241
1.02,1328,2721.562
1.03,1328,2722.511
1.04,1328,2723.896
1.05,1328,2725.464
1.06,1328,2726.942
1.07,1328,2728.081
1.08,1328,2728.689
1.09,1328,2728.659
1.1,1328,2727.983
1.11,1328,2726.745
1.12,1328,2725.105
1.13,1328,2723.271
1.14,1328,2721.459
1.15,1328,2719.866
1.16,1328,2718.636
1.17,1328,2717.845
1.18,1328,2717.496
1.19,1328,2717.525
1.2,1328,2717.825
1.21,1328,2718.265
1.22,1328,2718.725
1.23,1328,2719.115
1.24,1328,2719.398
1.25,1328,2719.589
1.26,1328,2719.752
1.27,1328,2719.99
1.28,1328,2720.414
1.29,1328,2721.125
1.3,1328,2722.189
1.31,1328,2723.618
1.32,1328,2725.364
1.33,1328,2727.316
1.34,1328,2729.313
1.35,1328,2731.164
1.36,1328,2732.668
1.37,1328,2733.641
1.38,1328,2733.938
1.39,1328,2733.475
1.4,1328,2732.234
1.41,1328,2730.278
1.42,1328,2727.743
1.43,1328,2724.834
1.44,1328,2721.809
1.45,1328,2718.949
1.46,1328,2716.535
1.47,1328,2714.812
1.48,1328,2713.956
1.49,1328,2714.049
1.5,1328,2715.069
1.51,1328,2716.887
1.52,1328,2719.281
1.53,1328,2721.969
1.54,1328,2724.644
1.55,1328,2727.018
1.56,1328,2728.865
1.57,1328,2730.042
1.58,1328,2730.518
1.59,1328,2730.358
1.6,1328,2729.719
1.61,1328,2728.81
1.62,1328,2727.859
1.63,1328,2727.069
1.64,1328,2726.592
1.65,1328,2726.498
1.66,1328,2726.77
1.67,1328,2727.31
