time,ref1,finger1_exp1,finger1_exp2,finger1_exp3,finger1_exp4,finger1_exp5,ref2,finger2_exp1,finger2_exp2,finger2_exp3,finger2_exp4,finger2_exp5,ref3,finger3_exp1,finger3_exp2,finger3_exp3,finger3_exp4,finger3_exp5,force_ref1,force_finger1_exp1,force_finger1_exp2,force_finger1_exp3,force_finger1_exp4,force_finger1_exp5,force_ref2,force_finger2_exp1,force_finger2_exp2,force_finger2_exp3,force_finger2_exp4,force_finger2_exp5,force_ref3,force_finger3_exp1,force_finger3_exp2,force_finger3_exp3,force_finger3_exp4,force_finger3_exp5
0.13,0,271.7743,270.7991,273.7216,273.299,271.6887,0,253.6184,253.2494,254.8055,254.4534,254.4128,0,329.392,329.2522,329.0234,329.6755,330.564,0,22.7729,22.83079,24.50791,22.60753,22.49453,0,8.292336,8.593655,10.0375,7.632725,8.533616,0,218.3283,215.4679,199.5606,205.2795,213.8907
0.14,0,405.3278,404.0101,408.3351,408.0988,405.3251,0,378.3439,377.8047,380.1185,379.653,379.553,0,491.5411,491.0622,490.8179,491.9381,493.0674,0,33.90475,34.1398,36.49926,33.81427,33.57685,0,12.38495,12.85857,15.02046,11.5994,12.79431,0,325.7609,321.4361,297.7919,306.1911,319.057
0.15,0,575.6003,573.8949,579.975,580.2005,575.7586,0,537.395,536.6448,539.9091,539.3259,539.1265,0,698.3994,697.3446,697.1476,698.8829,700.2194,0,48.05051,48.589,51.7303,48.1553,47.71607,0,17.6078,18.31054,21.37549,16.77593,18.24577,0,462.7774,456.5692,423.0827,434.8535,453.1589
0.16,0,781.731,779.5931,787.7487,788.7982,782.1343,0,729.9716,728.9658,733.3544,732.6563,732.3094,0,948.9532,947.0267,946.9804,949.4464,950.9147,0,65.11201,66.10773,70.07977,65.57819,64.84058,0,23.93314,24.91975,29.06042,23.18917,24.85439,0,628.6826,620.1761,574.7902,590.606,615.5134
0.17,0,1019.115,1016.49,1026.964,1029.253,1019.831,0,951.7682,950.4531,956.0976,955.2914,954.7471,0,1237.615,1234.481,1234.733,1237.981,1239.465,0,84.68015,86.29951,91.08141,85.70776,84.56432,0,31.21548,32.52878,37.88853,30.74538,32.4555,0,819.7501,808.5731,749.4873,769.9476,802.476
0.18,0,1279.34,1276.15,1289.069,1293.013,1280.397,0,1194.916,1193.22,1200.188,1199.281,1198.498,0,1554.138,1549.453,1550.195,1554.183,1555.531,0,106.0355,108.435,113.9242,107.8349,106.1814,0,39.18933,40.84898,47.5275,39.2174,40.75102,0,1029.171,1015.032,940.9131,966.492,1007.391
0.19,0,1550.683,1546.812,1562.148,1568.096,1552.041,0,1448.441,1446.267,1454.545,1453.542,1452.497,0,1884.21,1877.664,1879.115,1883.698,1884.739,0,128.1948,131.4934,137.5039,130.9537,128.7068,0,47.48488,49.47585,57.51935,48.25034,49.32809,0,1247.453,1230.169,1140.338,1171.343,1220.979
0.2,0,1819.115,1814.403,1831.958,1840.125,1820.65,0,1699.213,1696.429,1705.919,1704.823,1703.521,0,2210.689,2202.048,2204.437,2209.373,2209.926,0,150.0002,154.2499,160.5231,153.845,150.9613,0,55.66087,57.92318,67.31931,57.38722,57.69744,0,1463.239,1442.765,1337.322,1373.865,1432.142
0.21,0,2069.724,2063.966,2083.369,2093.78,2071.221,0,1933.275,1929.708,1940.229,1939.048,1937.523,0,2515.336,2504.49,2508.018,2513.003,2512.893,0,170.2393,175.3998,181.6275,175.1989,171.689,0,63.25111,65.67252,76.34911,66.11198,65.34689,0,1664.462,1640.894,1520.787,1562.768,1629.085
0.22,0,2288.333,2281.293,2302.027,2314.483,2289.503,0,2137.364,2132.81,2144.105,2142.867,2141.183,0,2780.817,2767.806,2772.608,2777.333,2776.397,0,187.7797,193.7026,199.5594,193.7577,189.6925,0,69.81802,72.23209,84.05721,73.90452,71.80264,0,1839.664,1813.243,1680.238,1727.339,1800.609
0.23,0,2463.119,2454.549,2475.99,2490.064,2463.621,0,2300.427,2294.658,2306.416,2305.183,2303.423,0,2992.684,2977.715,2983.815,2988.033,2986.129,0,201.6986,208.1266,213.3078,208.4611,203.9668,0,75.0052,77.19759,89.97805,80.29974,76.68922,0,1979.305,1950.401,1806.98,1858.663,1937.387
0.24,0,2585.971,2575.642,2597.121,2612.186,2585.456,0,2414.9,2407.683,2419.554,2418.446,2416.698,0,3141.055,3124.488,3131.768,3135.365,3132.372,0,211.3885,217.9737,222.2306,218.5725,213.8145,0,78.58057,80.30669,93.78234,84.9425,79.7788,0,2076.866,2045.962,1895.138,1950.661,2033.049
0.25,0,2653.418,2641.154,2662.022,2677.306,2651.579,0,2477.571,2468.696,2480.317,2479.517,2477.865,0,3221.752,3204.066,3212.246,3215.301,3211.117,0,216.6235,222.9648,226.1324,223.7671,218.9266,0,80.46371,81.47981,95.31165,87.63065,81.02238,0,2129.595,2097.253,1942.337,2000.772,2084.909
0.26,0,2666.99,2652.698,2672.396,2687.054,2663.603,0,2489.916,2479.223,2490.242,2489.996,2488.507,0,3236.745,3218.478,3227.123,3229.932,3224.477,0,217.5789,223.2746,225.2858,224.1708,219.4179,0,80.73296,80.84033,94.59369,88.341,80.55719,0,2138.798,2105.615,1949.943,2010.225,2094.251
0.27,0,2632.967,2616.656,2634.782,2647.977,2627.929,0,2457.859,2445.263,2455.365,2455.962,2454.685,0,3193.825,3175.511,3184.067,3187.136,3180.349,0,214.7991,219.5097,220.3937,220.3426,215.8146,0,79.61181,78.70998,91.83713,87.23549,78.68896,0,2109.624,2076.177,1922.843,1983.825,2066.118
0.28,0,2561.567,2543.347,2559.708,2570.688,2554.911,0,2391.002,2376.509,2385.448,2387.184,2386.144,0,3105.595,3087.692,3095.538,3099.541,3091.385,0,209.1222,212.6322,212.4984,213.2048,208.9928,0,77.43742,75.57716,87.40743,84.64812,75.85115,0,2050.402,2017.174,1868.796,1929.334,2008.66
0.29,0,2465.681,2445.75,2460.392,2468.556,2457.575,0,2301.427,2285.147,2292.772,2295.899,2295.107,0,2987.893,2970.735,2977.262,2982.952,2973.417,0,201.572,203.8404,202.8526,203.9295,200.0785,0,74.61633,72.0403,81.78793,81.05463,72.54703,0,1971.614,1938.915,1797.458,1856.502,1932.124
0.3,0,2359.338,2337.946,2351.176,2356.116,2350.066,0,2202.262,2184.406,2190.688,2195.363,2194.816,0,2857.901,2841.666,2846.354,2854.462,2843.573,0,193.2329,194.4234,192.77,193.799,190.3192,0,71.5742,68.73146,75.53104,77.02743,69.28305,0,1884.646,1852.541,1719.218,1775.907,1847.63
0.31,0,2256.109,2233.524,2245.889,2247.408,2246.039,0,2106.182,2087.045,2092.097,2098.33,2098.016,0,2732.175,2716.89,2719.381,2730.503,2718.319,0,185.1267,185.6088,183.4757,184.0573,180.9448,0,68.70666,66.23074,69.20576,73.17875,66.50367,0,1800.504,1768.761,1644.009,1697.758,1765.909
0.32,0,2167.651,2144.118,2156.364,2154.479,2157.198,0,2024.05,2003.992,2008.07,2015.698,2015.597,0,2624.869,2610.44,2610.587,2625.08,2611.703,0,178.1064,178.4252,175.9771,175.7745,173.0346,0,66.33745,64.98387,63.3472,70.09547,64.53713,0,1728.63,1696.712,1580.243,1630.801,1696.146
0.33,0,2102.573,2078.286,2091.287,2086.2,2092.158,0,1963.864,1943.278,1946.767,1955.449,1955.528,0,2546.356,2532.618,2530.509,2548.419,2533.995,0,172.7805,173.5963,170.9682,169.7396,167.407,0,64.68845,65.23685,58.41324,68.27106,63.56028,0,1675.988,1643.091,1534.009,1581.484,1645.087
0.34,0,2065.736,2040.834,2055.494,2047.56,2055.757,0,1930.108,1909.392,1912.781,1922.016,1922.224,0,2502.402,2489.182,2485.131,2506.152,2490.874,0,169.4741,171.4799,168.7786,166.3944,164.5446,0,63.86444,66.999,54.75227,68.04207,63.58709,0,1646.504,1611.651,1508.603,1553.44,1616.503
0.35,0,2058.062,2032.643,2049.781,2039.465,2048.87,0,1923.587,1903.117,1906.945,1916.125,1916.389,0,2493.958,2481.132,2475.642,2499.125,2483.23,0,168.2284,172.0556,169.3688,165.8157,164.564,0,63.85306,70.04158,52.58471,69.53781,64.48157,0,1640.908,1603.086,1504.439,1547.354,1611.044
0.36,0,2076.828,2050.982,2071.221,2059.044,2068.718,0,1941.707,1921.815,1926.615,1935.088,1935.313,0,2517.55,2505.086,2498.793,2523.793,2507.561,0,168.8344,174.962,172.37,167.742,167.2301,0,64.53863,73.93256,51.99877,72.65211,65.99181,0,1656.97,1615.295,1519.31,1561.189,1626.488
0.37,0,2116.378,2090.229,2113.894,2100.393,2109.589,0,1979.14,1960.111,1966.341,1973.49,1973.563,0,2566.176,2554.155,2547.756,2573.117,2556.859,0,170.8932,179.5736,177.1582,171.64,172.0132,0,65.72691,78.10236,52.9586,77.04413,67.79858,0,1690.071,1643.958,1548.947,1590.714,1658.314
0.38,0,2169.124,2142.875,2169.926,2155.606,2163.846,0,2028.773,2010.841,2018.822,2024.136,2023.936,0,2630.542,2619.155,2613.336,2637.8,2621.848,0,173.8915,185.1047,182.9519,176.7974,178.1772,0,67.17691,81.93002,55.32123,82.1715,69.57006,0,1734.017,1683.312,1587.771,1630.256,1700.502
0.39,0,2226.697,2200.654,2230.663,2215.968,2223.072,0,2082.771,2066.126,2075.997,2079.134,2078.543,0,2700.472,2689.989,2685.366,2707.69,2692.369,0,177.2822,190.7258,188.9193,182.4293,184.8867,0,68.63528,84.83624,58.85793,87.35431,71.01375,0,1781.958,1727.031,1629.729,1673.547,1746.446
0.4,0,2281.072,2255.658,2287.836,2273.12,2279.201,0,2133.637,2118.432,2130.129,2130.948,2129.87,0,2766.271,2756.999,2754.069,2773.14,2758.751,0,180.5582,195.6751,194.2806,187.7825,191.3192,0,69.86928,86.36873,63.27628,91.8625,71.91831,0,1827.309,1769.065,1669.099,1714.562,1789.838
0.41,0,2325.546,2301.279,2334.552,2320.074,2325.486,0,2175.122,2161.474,2174.734,2173.309,2171.68,0,2819.902,2812.125,2811.238,2826.167,2812.963,0,183.312,199.3513,198.3972,192.2263,196.7663,0,70.69449,86.26705,68.2413,95.01514,72.17977,0,1864.545,1804.365,1701.163,1748.243,1825.427
0.42,0,2355.444,2332.893,2366.026,2351.942,2357.196,0,2202.882,2190.866,2205.267,2201.867,2199.663,0,2855.821,2849.742,2851.1,2861.278,2849.45,0,185.2745,201.378,200.8352,195.3187,200.7124,0,70.99451,84.49747,73.39548,96.27663,71.80965,0,1889.789,1829.39,1722.685,1771.029,1849.571
0.43,0,2368.493,2348.212,2379.955,2366.332,2371.995,0,2214.827,2204.468,2219.482,2214.531,2211.778,0,2871.408,2867.105,2870.761,2875.886,2865.567,0,186.3311,201.6312,201.4022,196.8434,202.8822,0,70.7308,81.25323,78.37848,95.33513,70.92542,0,1901.126,1842.371,1732.145,1781.145,1860.507
0.44,0,2364.855,2347.311,2376.549,2363.369,2369.972,0,2211.153,2202.404,2217.475,2211.492,2208.263,0,2866.978,2864.369,2870.255,2870.316,2861.591,0,186.5151,200.2328,200.1523,196.8143,203.2534,0,69.94218,76.9218,82.84789,92.15039,69.72617,0,1898.648,1843.324,1729.731,1778.631,1858.37
0.45,0,2346.839,2332.335,2358.232,2345.405,2353.363,0,2194.062,2186.793,2201.409,2194.943,2191.356,0,2845.418,2844.252,2852.2,2847.425,2840.367,0,185.9815,197.5113,197.3623,195.451,202.0346,0,68.73456,72.025,86.50105,86.96355,68.4581,0,1884.235,1833.827,1717.114,1765.15,1844.953
0.46,0,2318.37,2306.991,2329.085,2316.456,2326.024,0,2167.268,2161.251,2175.012,2168.572,2164.791,0,2811.527,2811.392,2821.163,2811.953,2806.656,0,184.9683,193.9391,193.4826,193.1287,199.6157,0,67.26309,67.1429,89.09731,80.26691,67.37556,0,1861.124,1816.631,1697.06,1743.597,1823.284
0.47,0,2284.303,2275.886,2294.14,2281.501,2292.765,0,2135.344,2130.259,2142.924,2136.919,2133.146,0,2771.181,2771.535,2782.851,2769.701,2766.306,0,183.7496,190.0576,189.0696,190.3135,196.4981,0,65.70929,62.83302,90.47878,72.73866,66.70322,0,1833.35,1795.159,1672.951,1717.605,1797.093
0.48,0,2249.692,2243.826,2258.623,2245.72,2258.618,0,2103.039,2098.482,2109.995,2104.688,2101.165,0,2730.447,2730.671,2743.241,2726.661,2725.384,0,182.591,186.4003,184.71,187.4894,193.2176,0,64.25645,59.55746,90.58659,65.15264,66.60474,0,1805.147,1772.98,1648.277,1690.995,1770.247
0.49,0,2219.109,2215.171,2227.25,2213.8,2228.164,0,2074.64,2070.147,2080.635,2076.119,2073.116,0,2694.773,2694.229,2707.774,2688.239,2689.353,0,181.7105,183.4244,180.945,185.0893,190.2691,0,63.06666,57.62769,89.4696,58.27705,67.16209,0,1780.365,1753.32,1626.183,1667.269,1746.237
