time,ref1,finger1_exp1,finger1_exp2,finger1_exp3,finger1_exp4,finger1_exp5,ref2,finger2_exp1,finger2_exp2,finger2_exp3,finger2_exp4,finger2_exp5,ref3,finger3_exp1,finger3_exp2,finger3_exp3,finger3_exp4,finger3_exp5,force_ref1,force_finger1_exp1,force_finger1_exp2,force_finger1_exp3,force_finger1_exp4,force_finger1_exp5,force_ref2,force_finger2_exp1,force_finger2_exp2,force_finger2_exp3,force_finger2_exp4,force_finger2_exp5,force_ref3,force_finger3_exp1,force_finger3_exp2,force_finger3_exp3,force_finger3_exp4,force_finger3_exp5
0.15,0,577.2131,580.6065,577.1857,578.7486,578.0495,0,530.2301,538.1136,534.9136,540.912,541.0775,0,692.2143,703.1396,697.4313,700.3421,703.4515,0,48.96706,42.97652,47.5747,48.75723,45.09084,0,17.54646,14.6373,15.11038,19.33586,13.47949,0,610.9388,413.6586,445.8566,458.9591,468.7457
0.16,0,783.988,788.8345,784.2648,786.1438,784.9869,0,720.2606,730.6786,726.5867,734.7244,734.9634,0,940.3569,954.6383,947.778,951.3895,955.4617,0,66.42103,58.90675,64.40088,66.05728,61.27557,0,23.71505,20.38666,20.45006,26.20381,18.50508,0,829.8573,563.3802,605.8403,623.2424,636.6806
0.17,0,1022.077,1028.723,1022.928,1024.965,1023.182,0,939.1213,952.2694,947.267,957.844,958.2161,0,1226.195,1243.998,1236.262,1240.498,1245.63,0,86.45755,77.52296,83.71281,85.94307,79.90448,0,30.76985,27.23712,26.62124,34.09111,24.37918,0,1081.936,736.3685,790.1517,812.3701,830.0485
0.18,0,1282.988,1291.764,1284.786,1286.689,1284.11,0,1179.028,1194.924,1189.052,1202.271,1202.869,0,1539.609,1560.805,1552.66,1557.348,1563.605,0,108.3341,98.26312,104.828,107.7349,100.3042,0,38.44861,35.02253,33.44782,42.71424,30.91529,0,1358.173,926.604,992.2354,1019.584,1041.953
0.19,0,1554.887,1566.066,1558.102,1559.431,1555.916,0,1429.123,1447.584,1440.935,1456.866,1457.825,0,1866.484,1890.598,1882.674,1887.546,1894.965,0,131.0302,120.2849,126.8141,130.5004,121.5401,0,46.39713,43.46199,40.68496,51.68199,37.83695,0,1646.027,1125.582,1202.932,1235.466,1262.788
0.2,0,1823.625,1837.379,1828.788,1828.981,1824.445,0,1676.411,1697.056,1689.763,1708.317,1709.816,0,2189.932,2216.13,2209.159,2213.872,2222.477,0,153.3395,142.5286,148.5731,153.1353,142.4995,0,54.20195,52.17491,48.04096,60.52895,44.80238,0,1930.504,1323.033,1411.264,1448.748,1481.067
0.21,0,2074.17,2090.528,2081.819,2080.238,2074.685,0,1907.077,1929.364,1921.58,1942.493,1944.756,0,2492.003,2519.127,2513.859,2518.024,2527.841,0,173.9953,163.8176,168.9526,174.4714,162.0055,0,61.43375,60.71171,55.20531,68.76183,51.44164,0,2195.68,1507.955,1605.542,1647.459,1684.596
0.22,0,2292.255,2311.076,2302.862,2298.874,2292.422,0,2107.997,2131.279,2123.162,2145.995,2149.284,0,2755.637,2782.291,2779.396,2782.623,2793.7,0,191.814,182.9815,186.8697,193.3958,178.9488,0,67.69572,68.59758,61.87831,75.9122,57.40096,0,2426.448,1669.809,1774.643,1820.234,1861.807
0.23,0,2466.01,2486.973,2479.892,2472.977,2465.875,0,2268.243,2291.847,2283.543,2307.701,2312.296,0,2966.606,2991.281,2991.263,2993.209,3005.63,0,205.8342,198.9881,201.4283,208.9664,192.4146,0,72.66985,75.38417,67.79858,81.58864,62.38718,0,2610.257,1799.724,1909.281,1957.619,2003.082
0.24,0,2587.349,2609.956,2604.583,2594.44,2587.078,0,2380.352,2403.659,2395.297,2420.065,2426.235,0,3115.147,3136.381,3139.503,3139.921,3153.808,0,215.4327,211.0619,212.0162,220.5085,201.7901,0,76.1544,80.70215,72.76463,85.52067,66.20494,0,2738.563,1891.522,2003.091,2053.177,2101.872
0.25,0,2652.9,2676.504,2673.254,2659.895,2652.795,0,2441.185,2463.71,2455.394,2479.998,2487.96,0,3197.07,3213.617,3219.863,3218.639,3234.14,0,220.4007,218.7736,218.3665,227.6807,206.8345,0,78.08708,84.30635,76.64847,87.58896,68.78085,0,2807.825,1942.439,2053.368,2104.23,2155.447
0.26,0,2664.374,2688.217,2687.257,2671.075,2664.864,0,2452.265,2473.711,2465.522,2489.199,2499.07,0,3214.187,3225.169,3234.242,3231.428,3248.683,0,220.9695,222.0852,220.5789,230.5012,207.705,0,78.55037,86.10609,79.40012,87.8376,70.17072,0,2819.866,1953.419,2061.359,2112.149,2165.179
0.27,0,2628.295,2651.555,2652.746,2634.534,2629.898,0,2419.533,2439.815,2431.816,2453.896,2465.647,0,3174.006,3179.038,3190.384,3186.21,3205.308,0,217.7823,221.3463,219.0971,229.3336,204.9322,0,77.75867,86.17513,81.04369,86.46776,70.54917,0,2781.59,1928.956,2032.071,2082.139,2136.321
0.28,0,2555.16,2577.001,2579.887,2560.795,2558.418,0,2352.574,2371.811,2364.058,2384.036,2397.455,0,3088.747,3088.004,3100.875,3095.75,3116.666,0,211.8152,217.2414,214.6478,224.8332,199.3522,0,76.02924,84.73969,81.66643,83.81392,70.18318,0,2704.077,1876.511,1973.623,2022.564,2077.318
0.29,0,2458.137,2477.757,2481.6,2463.039,2463.525,0,2263.432,2281.899,2274.451,2292.055,2306.726,0,2973.829,2968.054,2981.585,2976.073,2998.613,0,204.2575,210.6986,208.1498,217.8632,192.0028,0,73.74132,82.14648,81.40334,80.30616,69.39372,0,2601.208,1805.583,1896.244,1943.914,1998.76
0.3,0,2351.485,2368.163,2372.032,2355.528,2359.324,0,2165.164,2183.224,2176.166,2191.38,2206.695,0,2846.029,2836.479,2849.779,2844.556,2868.313,0,196.3669,202.7744,200.606,209.3911,183.9991,0,71.28953,78.81682,80.41994,76.42317,68.51115,0,2488.001,1726.576,1811.054,1857.554,1912.118
0.31,0,2248.921,2262.061,2264.957,2251.97,2259.294,0,2070.347,2088.364,2081.827,2094.894,2110.09,0,2721.582,2709.907,2722.151,2717.946,2742.286,0,189.3186,194.5302,192.9924,200.3809,176.4055,0,69.03794,75.19448,78.89545,72.64147,67.83088,0,2378.895,1649.606,1728.794,1774.424,1828.431
0.32,0,2162.133,2171.3,2172.307,2164.047,2174.837,0,1989.725,2007.983,2002.16,2013.544,2027.764,0,2614.442,2602.519,2613.038,2610.546,2634.633,0,184.0684,186.9194,186.1569,191.6954,170.1202,0,67.28082,71.69545,77.00828,69.38638,67.57524,0,2286.199,1583.412,1658.672,1703.865,1757.128
0.33,0,2099.628,2104.588,2103.019,2100.273,2114.167,0,1931.159,1949.793,1944.955,1955.264,1967.647,0,2534.935,2524.675,2533.029,2532.812,2555.684,0,181.2487,180.6966,180.7412,184.021,165.7857,0,66.2149,68.6664,74.92444,66.99037,67.86682,0,2218.895,1534.501,1607.465,1652.709,1705.109
0.34,0,2066.049,2066.791,2062.307,2065.321,2081.667,0,1898.996,1917.958,1914.453,1924.343,1934.121,0,2488.934,2482.083,2488.116,2490.5,2511.181,0,181.11,176.3593,177.1318,177.8234,163.7371,0,65.92622,66.35622,72.78911,65.66313,68.71661,0,2181.923,1506.616,1578.972,1624.719,1676.199
