time,reference,state
0,2304,4.825029e-05
0.01,2304,0.0008973071
0.02,2304,0.008254058
0.03,2304,0.05028562
0.04,2304,0.2292324
0.05,2304,0.837521
0.06,2304,2.564542
0.07,2304,6.792808
0.08,2304,15.93486
0.09,2304,33.71274
0.1,2304,65.25374
0.11,2304,116.8863
0.12,2304,195.5723
0.13,2304,307.995
0.14,2304,459.4127
0.15,2304,652.4633
0.16,2304,886.1464
0.17,2304,1155.198
0.18,2304,1450.026
0.19,2304,1757.271
0.2,2304,2060.967
0.21,2304,2344.164
0.22,2304,2590.784
0.23,2304,2787.458
0.24,2304,2925.081
0.25,2304,2999.845
0.26,2304,3013.644
0.27,2304,2973.76
0.28,2304,2891.916
0.29,2304,2782.814
0.3,2304,2662.383
0.31,2304,2545.96
0.32,2304,2446.649
0.33,2304,2374.046
0.34,2304,2333.481
0.35,2304,2325.828
0.36,2304,2347.865
0.37,2304,2393.105
0.38,2304,2452.945
0.39,2304,2517.968
0.4,2304,2579.209
0.41,2304,2629.238
0.42,2304,2662.936
0.43,2304,2677.889
0.44,2304,2674.393
0.45,2304,2655.113
0.46,2304,2624.465
0.47,2304,2587.841
0.48,2304,2550.788
0.49,2304,2518.263
0.5,2304,2494.044
0.51,2304,2480.365
0.52,2304,2477.794
0.53,2304,2485.345
0.54,2304,2500.791
0.55,2304,2521.096
0.56,2304,2542.916
0.57,2304,2563.079
0.58,2304,2578.994
0.59,2304,2588.927
0.6,2304,2592.147
0.61,2304,2588.91
0.62,2304,2580.322
0.63,2304,2568.1
0.64,2304,2554.28
0.65,2304,2540.911
0.66,2304,2529.779
0.67,2304,2522.199
0.68,2304,2518.884
0.69,2304,2519.913
0.7,2304,2524.786
0.71,2304,2532.548
0.72,2304,2541.962
0.73,2304,2551.7
0.74,2304,2560.528
0.75,2304,2567.453
0.76,2304,2571.83
0.77,2304,2573.405
0.78,2304,2572.308
0.79,2304,2568.994
0.8,2304,2564.148
0.81,2304,2558.578
0.82,2304,2553.09
0.83,2304,2548.394
0.84,2304,2545.018
0.85,2304,2543.261
0.86,2304,2543.18
0.87,2304,2544.604
0.88,2304,2547.177
0.89,2304,2550.426
0.9,2304,2553.825
0.91,2304,2556.872
0.92,2304,2559.144
0.93,2304,2560.354
0.94,2304,2560.369
0.95,2304,2559.225
0.96,2304,2557.108
0.97,2304,2554.323
0.98,2304,2551.246
0.99,2304,2548.277
1,2304,2545.781
1.01,2304,2544.047
1.02,2304,2543.253
1.03,2304,2543.444
1.04,2304,2544.54
1.05,2304,2546.345
1.06,2304,2548.582
1.07,2304,2550.934
1.08,2304,2553.083
1.09,2304,2554.759
1.1,2304,2555.759
1.11,2304,2555.981
1.12,2304,2555.42
1.13,2304,2554.17
1.14,2304,2552.4
1.15,2304,2550.339
1.16,2304,2548.237
1.17,2304,2546.343
1.18,2304,2544.87
1.19,2304,2543.973
1.2,2304,2543.731
1.21,2304,2544.14
1.22,2304,2545.108
1.23,2304,2546.474
1.24,2304,2548.024
1.25,2304,2549.527
1.26,2304,2550.76
1.27,2304,2551.542
1.28,2304,2551.76
1.29,2304,2551.381
1.3,2304,2550.458
1.31,2304,2549.115
1.32,2304,2547.531
1.33,2304,2545.915
1.34,2304,2544.469
1.35,2304,2543.371
1.36,2304,2542.747
1.37,2304,2542.661
1.38,2304,2543.108
1.39,2304,2544.02
1.4,2304,2545.276
1.41,2304,2546.721
1.42,2304,2548.187
1.43,2304,2549.514
1.44,2304,2550.573
1.45,2304,2551.279
1.46,2304,2551.596
1.47,2304,2551.542
1.48,2304,2551.183
1.49,2304,2550.61
1.5,2304,2549.934
1.51,2304,2549.265
1.52,2304,2548.694
1.53,2304,2548.289
1.54,2304,2548.082
1.55,2304,2548.073
1.56,2304,2548.232
1.57,2304,2548.505
1.58,2304,2548.827
1.59,2304,2549.129
1.6,2304,2549.355
1.61,2304,2549.463
1.62,2304,2549.438
1.63,2304,2549.286
1.64,2304,2549.035
1.65,2304,2548.728
1.66,2304,2548.413
1.67,2304,2548.136
1.68,2304,2547.936
1.69,2304,2547.835
1.7,2304,2547.841
1.71,2304,2547.948
1.72,2304,2548.139
1.73,2304,2548.393
1.74,2304,2548.685
1.75,2304,2548.996
1.76,2304,2549.306
1.77,2304,2549.604
1.78,2304,2549.882
1.79,2304,2550.139
1.8,2304,2550.376
1.81,2304,2550.602
1.82,2304,2550.824
1.83,2304,2551.054
1.84,2304,2551.303
1.85,2304,2551.581
1.86,2304,2551.894
1.87,2304,2552.244
1.88,2304,2552.627
1.89,2304,2553.028
1.9,2304,2553.421
1.91,2304,2553.776
1.92,2304,2554.052
1.93,2304,2554.207
1.94,2304,2554.203
1.95,2304,2554.014
1.96,2304,2553.627
1.97,2304,2553.054
1.98,2304,2552.33
1.99,2304,2551.518
2,2304,2550.698
2.01,2304,2549.962
2.02,2304,2549.404
2.03,2304,2549.102
2.04,2304,2549.108
2.05,2304,2549.439
2.06,2304,2550.07
2.07,2304,2550.935
2.08,2304,2551.935
2.09,2304,2552.95
2.1,2304,2553.854
2.11,2304,2554.529
2.12,2304,2554.885
2.13,2304,2554.867
2.14,2304,2554.464
2.15,2304,2553.71
2.16,2304,2552.679
2.17,2304,2551.474
2.18,2304,2550.216
2.19,2304,2549.024
2.2,2304,2548.009
2.21,2304,2547.248
2.22,2304,2546.787
2.23,2304,2546.627
2.24,2304,2546.733
2.25,2304,2547.032
2.26,2304,2547.433
2.27,2304,2547.83
2.28,2304,2548.128
2.29,2304,2548.25
2.3,2304,2548.147
2.31,2304,2547.812
2.32,2304,2547.276
2.33,2304,2546.604
2.34,2304,2545.886
2.35,2304,2545.23
2.36,2304,2544.741
2.37,2304,2544.508
2.38,2304,2544.594
2.39,2304,2545.021
2.4,2304,2545.772
2.41,2304,2546.784
2.42,2304,2547.957
2.43,2304,2549.168
2.44,2304,2550.283
2.45,2304,2551.172
2.46,2304,2551.732
2.47,2304,2551.894
2.48,2304,2551.637
2.49,2304,2550.989
2.5,2304,2550.026
2.51,2304,2548.864
2.52,2304,2547.642
2.53,2304,2546.504
2.54,2304,2545.583
2.55,2304,2544.979
2.56,2304,2544.746
2.57,2304,2544.888
2.58,2304,2545.352
2.59,2304,2546.044
2.6,2304,2546.839
2.61,2304,2547.607
2.62,2304,2548.233
2.63,2304,2548.642
2.64,2304,2548.807
2.65,2304,2548.759
2.66,2304,2548.578
2.67,2304,2548.38
2.68,2304,2548.289
2.69,2304,2548.412
2.7,2304,2548.82
2.71,2304,2549.527
2.72,2304,2550.488
2.73,2304,2551.601
2.74,2304,2552.727
2.75,2304,2553.706
2.76,2304,2554.39
2.77,2304,2554.657
2.78,2304,2554.432
2.79,2304,2553.694
2.8,2304,2552.477
2.81,2304,2550.866
2.82,2304,2548.985
2.83,2304,2546.986
2.84,2304,2545.029
2.85,2304,2543.273
2.86,2304,2541.863
2.87,2304,2540.911
2.88,2304,2540.495
2.89,2304,2540.649
2.9,2304,2541.361
2.91,2304,2542.573
2.92,2304,2544.189
2.93,2304,2546.076
2.94,2304,2548.081
2.95,2304,2550.045
2.96,2304,2551.818
2.97,2304,2553.275
2.98,2304,2554.332
2.99,2304,2554.958
3,2304,2555.171
3.01,2304,2555.045
3.02,2304,2554.688
3.03,2304,2554.233
3.04,2304,2553.812
3.05,2304,2553.539
3.06,2304,2553.489
3.07,2304,2553.688
3.08,2304,2554.113
3.09,2304,2554.686
3.1,2304,2555.293
3.11,2304,2555.8
3.12,2304,2556.072
3.13,2304,2556
3.14,2304,2555.517
3.15,2304,2554.612
3.16,2304,2553.335
3.17,2304,2551.795
3.18,2304,2550.141
3.19,2304,2548.545
3.2,2304,2547.178
3.21,2304,2546.186
3.22,2304,2545.668
3.23,2304,2545.665
3.24,2304,2546.154
3.25,2304,2547.051
3.26,2304,2548.223
3.27,2304,2549.507
3.28,2304,2550.735
3.29,2304,2551.753
3.3,2304,2552.442
3.31,2304,2552.735
3.32,2304,2552.625
3.33,2304,2552.157
3.34,2304,2551.428
3.35,2304,2550.565
3.36,2304,2549.706
3.37,2304,2548.98
3.38,2304,2548.487
3.39,2304,2548.284
3.4,2304,2548.381
3.41,2304,2548.743
3.42,2304,2549.296
3.43,2304,2549.945
3.44,2304,2550.588
3.45,2304,2551.131
3.46,2304,2551.5
3.47,2304,2551.653
3.48,2304,2551.581
3.49,2304,2551.307
3.5,2304,2550.879
3.51,2304,2550.367
3.52,2304,2549.845
3.53,2304,2549.383
3.54,2304,2549.038
3.55,2304,2548.846
3.56,2304,2548.82
3.57,2304,2548.949
3.58,2304,2549.208
3.59,2304,2549.557
3.6,2304,2549.956
3.61,2304,2550.365
3.62,2304,2550.758
3.63,2304,2551.117
3.64,2304,2551.438
3.65,2304,2551.726
3.66,2304,2551.993
3.67,2304,2552.248
3.68,2304,2552.498
3.69,2304,2552.744
3.7,2304,2552.977
3.71,2304,2553.179
3.72,2304,2553.33
3.73,2304,2553.404
3.74,2304,2553.381
3.75,2304,2553.248
3.76,2304,2552.998
3.77,2304,2552.637
3.78,2304,2552.177
3.79,2304,2551.635
3.8,2304,2551.029
3.81,2304,2550.374
3.82,2304,2549.683
3.83,2304,2548.961
3.84,2304,2548.211
3.85,2304,2547.437
3.86,2304,2546.647
3.87,2304,2545.863
3.88,2304,2545.118
3.89,2304,2544.465
3.9,2304,2543.971
3.91,2304,2543.71
3.92,2304,2543.752
3.93,2304,2544.15
3.94,2304,2544.931
3.95,2304,2546.081
3.96,2304,2547.545
3.97,2304,2549.227
3.98,2304,2550.993
3.99,2304,2552.692
4,2304,2554.164
4.01,2304,2555.263
4.02,2304,2555.882
4.03,2304,2555.963
4.04,2304,2555.519
4.05,2304,2554.627
4.06,2304,2553.429
4.07,2304,2552.11
4.08,2304,2550.869
4.09,2304,2549.889
4.1,2304,2549.31
4.11,2304,2549.203
4.12,2304,2549.559
